id,akteursbezeichnung,follower,marktwert,alter,nationalitaet,type
MN,Manuel Neuer,10100000,30000000,32,1,1
MP,Marvin Plattenhardt,60800,17000000,26,1,1
JH,Jonas Hector,0,15000000,28,1,1
MG,Matthias Ginter,334000,25000000,24,1,1
MH,Mats Hummels,2500000,60000000,29,1,1
SK,Sami Khedira,4800000,25000000,31,1,1
JD,Julian Draxler,3500000,30000000,25,2,1
TK,Toni Kroos,19000000,80000000,28,2,1
TW,Timo Werner,441000,60000000,22,1,1
MO,Mesut Oezil,17200000,45000000,29,2,1
MR,Marco Reus,6800000,40000000,29,1,1
KT,Kevin Trapp,2500000,60000000,29,1,1
TM,Thomas Mueller,5900000,55000000,29,2,1
LG,Leon Goretzka,572000,40000000,23,1,1
NS,Niklas Suele,402000,45000000,23,1,1
AR,Antonio Ruediger,823000,40000000,25,2,1
JB,Jerome Boateng,5700000,45000000,30,1,1
JK,Joshua Kimmich,1900000,55000000,23,1,1
SR,Sebastian Rudy,302000,15000000,28,1,1
JBR,Julian Brandt,361000,45000000,22,1,1
IG,Ilkay Guendogan,2200000,40000000,27,2,1
MS,Marc-Andre ter Stegen,7400000,60000000,26,2,1
MGO,Mario Gomez,853000,6000000,33,1,1
11_Teamsports,11 Teamsports,n.a.,n.a.,n.a.,n.a.,2
Adidas,Adidas,n.a.,n.a.,n.a.,n.a.,2
Aktion_Ehrenamt_Des_Dfb,Aktion Ehrenamt des Dfb,n.a.,n.a.,n.a.,n.a.,3
Allianz,Allianz,n.a.,n.a.,n.a.,n.a.,2
Apple_Music,Apple Music,n.a.,n.a.,n.a.,n.a.,2
Barilla,Barilla,n.a.,n.a.,n.a.,n.a.,2
Beko,Beko,n.a.,n.a.,n.a.,n.a.,2
BigShoe,BigShoe,n.a.,n.a.,n.a.,n.a.,3
Braun,Braun,n.a.,n.a.,n.a.,n.a.,2
Caseable,Caseable,n.a.,n.a.,n.a.,n.a.,2
City_in_the_Community_Foundation,City in the Community Foundation,n.a.,n.a.,n.a.,n.a.,3
Coca_Cola,Coca Cola,n.a.,n.a.,n.a.,n.a.,2
Common_Goal,Common Goal,n.a.,n.a.,n.a.,n.a.,3
Daimler,Daimler,n.a.,n.a.,n.a.,n.a.,2
Die_Wiege,Die Wiege,n.a.,n.a.,n.a.,n.a.,3
Disneys_Die_Monster_Uni,Disney die Monster Uni,n.a.,n.a.,n.a.,n.a.,2
DKMS,DKMS,n.a.,n.a.,n.a.,n.a.,3
Doppelherz,Doppelherz,n.a.,n.a.,n.a.,n.a.,2
EA_Sports_Fifa,EA Sports Fifa,n.a.,n.a.,n.a.,n.a.,2
Edel_Optics,Edel Optics,n.a.,n.a.,n.a.,n.a.,2
EHFK,EHFK,n.a.,n.a.,n.a.,n.a.,3
Elterninitiative_Saarland,Elterninitiative Saarland,n.a.,n.a.,n.a.,n.a.,3
Elterntreff_Dortmund,Elterntreff Dortmund,n.a.,n.a.,n.a.,n.a.,3
FC_Schalke_04,FC Schalke 04,n.a.,n.a.,n.a.,n.a.,2
Ferrero,Ferrero,n.a.,n.a.,n.a.,n.a.,2
Fight_for_Finn,Fight for Finn,n.a.,n.a.,n.a.,n.a.,3
FOX,Fox,n.a.,n.a.,n.a.,n.a.,2
Gazi,Gazi,n.a.,n.a.,n.a.,n.a.,2
Gemeinde_Dietingen,Gemeinde Dietingen,n.a.,n.a.,n.a.,n.a.,3
Gillette,Gilette,n.a.,n.a.,n.a.,n.a.,2
Head_and_Shoulders,Head and Shoulders,n.a.,n.a.,n.a.,n.a.,2
Hugo_Boss,Hugo Boss,n.a.,n.a.,n.a.,n.a.,2
Initiative_der_Kinder_und_Jugendklinik_Freiburg_e.V.,Initiative der Kinder- und Jugendklinik Freiburg e.V.,n.a.,n.a.,n.a.,n.a.,3
Jamie_Jacobs,Jamie Jacobs,n.a.,n.a.,n.a.,n.a.,2
JBL,JBL,n.a.,n.a.,n.a.,n.a.,2
Jd_Marketing_GmbH,Jd Marketing GmbH,n.a.,n.a.,n.a.,n.a.,2
Jugendhilfe_Jona,Jugendhilfe Jona,n.a.,n.a.,n.a.,n.a.,3
Kaliber5_SPORTS,Kaliber5 Sports,n.a.,n.a.,n.a.,n.a.,2
KiO_Kinderhilfe_Organtransplantation,KiO,n.a.,n.a.,n.a.,n.a.,3
